Sample	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	151
C020_S18_L001_R1_001	405.0	180.0	374.0	128.0	476.0	120.0	208.0	5516.0	199.0	200.0	6050.0	1390.0	139.0	3365.0	222.0	78.0	98.0	124.0	98.0	84.0	117.0	77.0	15812.0	250172.0
C020_S18_L001_R2_001	409.0	179.0	375.0	130.0	476.0	125.0	210.0	5542.0	205.0	202.0	6112.0	1407.0	138.0	3420.0	226.0	81.0	95.0	127.0	95.0	84.0	121.0	77.0	13787.0	252009.0
C021_S19_L001_R1_001	320.0	124.0	250.0	78.0	263.0	75.0	117.0	2913.0	107.0	96.0	3273.0	687.0	67.0	1917.0	100.0	36.0	44.0	66.0	63.0	40.0	64.0	50.0	8106.0	130537.0
C021_S19_L001_R2_001	323.0	132.0	248.0	80.0	268.0	76.0	118.0	2947.0	105.0	97.0	3326.0	689.0	68.0	1961.0	104.0	37.0	41.0	69.0	64.0	44.0	62.0	50.0	7176.0	131308.0
C022_S20_L001_R1_001	281.0	105.0	210.0	73.0	266.0	69.0	144.0	3012.0	96.0	94.0	3523.0	764.0	71.0	1862.0	107.0	30.0	44.0	64.0	48.0	29.0	62.0	36.0	8471.0	134187.0
C022_S20_L001_R2_001	286.0	104.0	215.0	77.0	267.0	71.0	142.0	3081.0	97.0	98.0	3611.0	796.0	71.0	1915.0	109.0	33.0	46.0	64.0	49.0	31.0	63.0	37.0	7253.0	135132.0
C023_S21_L001_R1_001	323.0	166.0	228.0	96.0	289.0	78.0	152.0	3275.0	156.0	121.0	4397.0	839.0	75.0	2052.0	147.0	29.0	41.0	55.0	55.0	46.0	76.0	44.0	8535.0	139032.0
C023_S21_L001_R2_001	328.0	166.0	229.0	98.0	296.0	76.0	153.0	3307.0	154.0	123.0	4479.0	843.0	76.0	2077.0	151.0	30.0	42.0	58.0	55.0	47.0	78.0	45.0	7497.0	139899.0
C026_S22_L001_R1_001	265.0	79.0	173.0	54.0	243.0	52.0	92.0	1886.0	94.0	79.0	2800.0	590.0	64.0	1591.0	99.0	34.0	35.0	53.0	41.0	34.0	53.0	23.0	6778.0	112597.0
C026_S22_L001_R2_001	264.0	81.0	168.0	54.0	243.0	54.0	90.0	1905.0	98.0	78.0	2839.0	589.0	64.0	1608.0	101.0	33.0	34.0	56.0	41.0	35.0	54.0	23.0	6201.0	113096.0
C027_S23_L001_R1_001	168.0	54.0	124.0	53.0	137.0	37.0	89.0	1449.0	67.0	64.0	1823.0	427.0	54.0	1071.0	55.0	22.0	21.0	38.0	39.0	28.0	56.0	34.0	4816.0	77928.0
C027_S23_L001_R2_001	168.0	56.0	128.0	53.0	136.0	37.0	87.0	1460.0	68.0	65.0	1843.0	436.0	54.0	1084.0	56.0	21.0	23.0	39.0	39.0	25.0	59.0	33.0	4274.0	78410.0
